study_ID_Ancestry,StudyID,Who,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,N,Population_pop,Who_pop,Article_link,CrudeName,EthnicGroup,EthnicGroup_Notes,Subpopulation,Other_Classification,Location,Biome,Country,Lattitude,Longitude,Region,Sedentary,AcculturationLevel,ReferenceSource,SerumLevel_mg_dL,SL_SD_mg_dL,SL_SE_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY
CHIL2_A,CHIL2-A,Emily,Pehuenche,M/F,18,18-87,87,48.5,90,Pehuenche,Emily,CHIL2-A,Pehuenche,Pehuenche,"""""Pehuenche consider themselves to be both Pehuenche and Mapuche""""",,,the eastern and western slopes of the Andes Mountains between latitudes ∼37° S and 41° S,temperate rainforest,Chile,", -38.515674",", -71.226637",South America,NA,NA,Nutrition Transition and Health Outcomes Among Indigenous Populations of Chile,158.7,37.7,NA,43.9,11.1,NA,NA,216,116.6,SA_Indegenous
CHIL2_B,CHIL2-B,Emily,Atacameños,M/F,18,18-87,87,54.2,100,Atacameños,Emily,CHIL2-B,Atacameños,Atacameños,"""""also know as Likan-Antai""""",,,the high-altitude Atacama Desert oases and ravines of the Loa River between latitudes ∼22°S and 24°S,temperate rainfoest,Chile,", -22.685656",", -69.271322",South America,NA,NA,Nutrition Transition and Health Outcomes Among Indigenous Populations of Chile,166.8,35.7,NA,44.3,14.9,NA,NA,227.7,107.7,SA_Indegenous
Chile,Chile,BENJA,Chile,Men,NA,NA,NA,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South America,NA,Urban,http://dx.doi.org/10.4067/S0034-98872012000800001,200,41,NA,46,12,120,34,175,117,other
Chile,Chile,BENJA,Chile,Women,NA,NA,NA,NA,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South America,NA,Urban,http://dx.doi.org/10.4067/S0034-98872012000800001,203,43,NA,53,13,122,33,141,97,other
Chile,Chile,BENJA,Chile,Overall,NA,NA,NA,NA,1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South America,NA,Urban,http://dx.doi.org/10.4067/S0034-98872012000800001,202,42,NA,50,13,121,34,157,108,other
CHIN1_A,CHIN1-A,Phoebe,Han,F,28,28-70,69,45.3,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,39,NA,58,14,117,38,129,108,Chinese
CHIN1_A,CHIN1-A,Phoebe,Han,M,28,28-69,69,46.4,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,38,NA,54,15,117,38,126,102,Chinese
CHIN1_A,CHIN1-B,Phoebe,Han,M,28,28-71,69,46.7,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,34,NA,54,16,98,33,115,82,Chinese
CHIN1_A,CHIN1-B,Phoebe,Han,F,28,28-72,69,46,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,34,NA,53,13,99,32,100,74,Chinese
CHN10,CHN10,Phoebe,Chinese,M/F,,,,45.1,1679,Chinese,Phoebe,CHN10,Chinese,Chinese,,,,Hong Kong,subtripical rainforest,China,22.3193,114.1694,Asia,NA,Integrated,Development of diabetes in Chinese with the metabolic syndrome- a 6-year prospective study,193.35,34.803,NA,50.271,11.601,NA,NA,NA,61.999,Chinese
CHN133,CHN13,Phoebe,Kazak,F,,,,46,548,Kazak,Phoebe,CHN13,Chinese,Kazak,,,Kazak,FuKang,Grassland,CHina,40.109102,85.671277,Asia,NA,NA,Serum Vitamin D is Llow and Inversely Associated with LDL Cholesterol in the Kazak Ethnic Population: A Cross-Sectional Study,196.9,NA,NA,50.2,NA,73.4,NA,NA,NA,Central_Asian
CHN133,CHN13,Phoebe,Kazak,M,,,,49.1,380,Kazak,Phoebe,CHN13,Chinese,Kazak,,,Kazak,FuKang,Grassland,CHina,40.109102,85.671277,Asia,NA,NA,Serum Vitamin D is Llow and Inversely Associated with LDL Cholesterol in the Kazak Ethnic Population: A Cross-Sectional Study,208.5,NA,NA,42.4,NA,88.8,NA,NA,NA,Central_Asian
CHN14,CHN14,Phoebe,Chinese,F,,,,66.7,1391,Chinese,Phoebe,,Chinese,Chinese,,,,Haidian (beijing),,China,39.9042,116.4074,Asia,NA,NA,Prevalence of the metabolic syndrome and its relation to cardiovascular disease in an elderly Chinese population,212.685,38.67,NA,54.138,19.335,131.478,42.537,NA,97.427,Chinese
CHN14,CHN14,Phoebe,Chinese,M,,,,69,943,Chinese,Phoebe,,Chinese,Chinese,,,,Haidian (beijing),,China,39.9042,116.4074,Asia,NA,NA,Prevalence of the metabolic syndrome and its relation to cardiovascular disease in an elderly Chinese population,197.217,88.941,NA,50.271,11.601,123.744,30.936,NA,70.856,Chinese
CHN144,CHN4-B,Emily,Kazak,M/F,30,30-70,70,49.3,1123,Kazak,Emily,CHN4,Chinese,Kazak,,,grassland,Xinjiang Province,,China,40.109102,85.671277,Asia,NA,Semi-acculturated,"Prevalence of Metabolic Syndrome, Insulin Resistance, Impaired Fasting Blood Glucose, and Dyslipidemia in Uygur and Kazak Populations",193.35,27.069,NA,54.138,19.335,85.074,38.67,123.998,115.141,Central_Asian
CHN15_B,CHN15-B,Ashley,Chinese Urban,M,28,28-69,69,46.4,,Chinese,Ashley,CHN15,,Chinese,Urban,,,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,"""""Body mass, fat distribution and cardiovascular risk factors in a lean population of South China"""" Folsom, et. al.",NA,NA,NA,54,15,117,38,126,102,NA
CHN15_B,CHN15-B,Ashley,Chinese Urban,F,28,28-69,69,45.3,,Chinese,Ashley,CHN15,,Chinese,Urban,,,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,"""""Body mass, fat distribution and cardiovascular risk factors in a lean population of South China"""" Folsom, et. al.",NA,NA,NA,58,14,117,38,129,108,NA
CHN15_C,CHN15-C,Ashley,Chinese Rural,F,28,28-69,69,46,,Chinese,Ashley,CHN15,,Chinese,Rural,,,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,"""""Body mass, fat distribution and cardiovascular risk factors in a lean population of South China"""" Folsom, et. al.",NA,NA,NA,53,13,99,32,100,74,NA
CHN15_C,CHN15-C,Ashley,Chinese Rural,M,28,28-69,69,46.7,,Chinese,Ashley,CHN15,,Chinese,Rural,,,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,"""""Body mass, fat distribution and cardiovascular risk factors in a lean population of South China"""" Folsom, et. al.",NA,NA,NA,54,16,98,33,115,82,NA
CHN17_A,CHN17-A,Ashley,Chinese Non-MetS,M,44,44-55,55,49,111,Chinese,Ashley,CHN17,,Chinese,,Without metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,50.271,NA,116.01,NA,NA,NA,NA
CHN17_A,CHN17-A,Ashley,Chinese Non-MetS,F,43,43-54,54,47.5,142,Chinese,Ashley,CHN17,,Chinese,,Without metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,58.005,NA,119.877,NA,NA,NA,NA
CHN17_A,CHN17-A,Ashley,Chinese Non-MetS at follow-up,M,45,45-55,55,49,69,Chinese,Ashley,CHN17,,Chinese,,Without metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,50.271,NA,116.01,30.936,NA,NA,NA
CHN17_A,CHN17-A,Ashley,Chinese Non-MetS at follow-up,F,44,44-53,53,47,108,Chinese,Ashley,CHN17,,Chinese,,Without metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,61.872,NA,119.877,30.936,NA,NA,NA
CHN17_B,CHN17-B,Ashley,Chinese MetS,F,46,46-56,56,47,39,Chinese,Ashley,CHN17,,Chinese,,With metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,42.537,NA,123.744,NA,NA,NA,NA
CHN17_B,CHN17-B,Ashley,Chinese MetS,M,46,46-56,56,50,87,Chinese,Ashley,CHN17,,Chinese,,With metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,42.537,NA,119.877,NA,NA,NA,NA
CHN17_C,CHN17-C,Ashley,Chinese Newly MetS,M,41.8,41.8-55,55,50.5,42,Chinese,Ashley,CHN17,,Chinese,,Newly diagnosed metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,46.404,NA,123.744,34.803,NA,NA,NA
CHN17_C,CHN17-C,Ashley,Chinese Newly MetS,F,42,42-56.3,56.3,48.5,34,Chinese,Ashley,CHN17,,Chinese,,Newly diagnosed metabolic syndrome,,"Shenyang, China",,China,41.8048,123.433,Asia,NA,Integrated,"""""Comparison of anthropometric indices for predicting the risk of metabolic syndrome and its components in Chinese adults: a prospective, longitudinal study"""" Wang, et. al. ",NA,NA,NA,58.005,NA,131.478,34.803,NA,NA,NA
CHN19,CHN19-A,Gisele,Chinese,M,45,45-59,59,51.6,150,Chinese,Gisele,CHN19,Chinese,Chinese- Guangzhou,,,Guangzhou,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,159.2,3.2,NA,46.2,1.5,NA,NA,NA,NA,Chinese
CHN2,CHN2,Emily,Chinese,F,37,37-74,74,55,2780,Chinese,Emily,CHN2,Chinese,Chinese,Categorization listed in SCCS,,,"Guangzhou, Guangdong Province",urban,China,23.18722,113.30334,Asia,NA,Integrated,Comparison of Various Anthropometric and Body Fat Indices in Identifying Cardiometabolic Disturbances in Chinese Men and Women,213.0717,51.0444,NA,56.0715,18.1749,139.212,45.6306,115.141,85.9129,Chinese
CHN2,CHN2,Emily,Chinese,M,49,49-94,94,57,1160,Chinese,Emily,CHN2,Chinese,Chinese,Categorization listed in SCCS,,,"Guangzhou, Guangdong Province",urban,China,23.18722,113.30334,Asia,NA,Integrated,Comparison of Various Anthropometric and Body Fat Indices in Identifying Cardiometabolic Disturbances in Chinese Men and Women,196.8303,48.3375,NA,46.7907,14.6946,131.8647,42.537,126.6551,102.7412,Chinese
CHN20,CHN19-A,Gisele,Chinese,F,45,45-59,59,51.9,150,Chinese,Gisele,CHN19,Chinese,Chinese- Guangzhou,,,Guangzhou,Guangzhou,Tropical desert,China,23.1291,113.2644,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,160.8,3.58,NA,44.2,0.92,NA,NA,NA,NA,Chinese
CHN21,CHN19-B,Gisele,Chinese,F,45,45-59,59,51.7,92,Chinese,Gisele,CHN19,Chinese,Chinese-Guiyang,,,Guiyang,Guiyang,Tropical desert,China,26.6476,106.6302,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,164,4.81,NA,45.9,1.21,NA,NA,NA,NA,Chinese
CHN22,CHN19-B,Gisele,Chinese,M,45,45-59,59,51.3,98,Chinese,Gisele,CHN19,Chinese,Chinese-Guiyang,,,Guiyang,Guiyang,Tropical desert,China,26.6476,106.6302,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,176.7,7.01,NA,44.6,1.01,NA,NA,NA,NA,Chinese
CHN23,CHN19-C,Gisele,Chinese,F,45,45-59,59,51.7,98,Chinese,Gisele,CHN19,Chinese,Chinese-Taiwan,,,Taiwan,"Taibai, Taiwan",Subtropical forest,Taiwan,23.6978,120.9605,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,205.9,5.68,NA,35.8,1.65,NA,NA,NA,NA,Chinese
CHN24,CHN19-C,Gisele,Chinese,M,45,45-59,59,52.3,100,Chinese,Gisele,CHN19,Chinese,Chinese-Taiwan,,,Taiwan,"Taibai, Taiwan",Subtropical forest,Taiwan,23.6978,120.9605,Asia,NA,Integrated,Cardiovascular risk factors emerging in Chinese populations undergoing urbanization,188.4,5.41,NA,33,1.4,NA,NA,NA,NA,Chinese
CHN4_A,CHN4-A,Emily,Uygur,M/F,30,30-70,70,52,1379,Uygur,Emily,CHN4,Chinese,Uygur,,,grassland,Xinjiang Province,,China,40.109102,85.671277,Asia,NA,Semi-acculturated,"Prevalence of Metabolic Syndrome, Insulin Resistance, Impaired Fasting Blood Glucose, and Dyslipidemia in Uygur and Kazak Populations",166.281,34.803,NA,37.8966,9.2808,96.675,27.069,177.14,123.998,Chinese
CHN9,CHN9,EM,Chinese,M/F,36,36-45,45,NA,546,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",154.6,NA,NA,61.8,NA,73.2,NA,97.9,NA,Chinese
CHN9,CHN9,EM,Chinese,M/F,26,26-35,35,NA,995,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",151.8,NA,NA,60.8,NA,73.2,NA,89.9,NA,Chinese
CHN9,CHN9,EM,Chinese,M/F,46,46-55,55,NA,378,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",161.6,NA,NA,67.3,NA,75.4,NA,101.7,NA,Chinese
CHN9,CHN9,EM,Chinese,M/F,56,56-65,65,NA,287,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",165,NA,NA,66.5,NA,79.9,NA,92.5,NA,Chinese
CHN9,CHN9,EM,Chinese,M/F,20,20-25,25,NA,246,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",141.7,NA,NA,62.1,NA,61.7,NA,91.5,NA,Chinese
CHN9,CHN9,EM,Chinese,M/F,66,66-70,70,NA,90,Chinese,EM,CHN9,Chinese,Chinese,,,Rural,"Yangtze River, Anqing, China",Tropical Rainforest,China,30.53,117.12,Asia,NA,NA,"""""Body Mass Index and Cardiovascular Risk Factors in a Rural Chinese Population"""" Hu et. al",167.6,NA,NA,62,NA,89,NA,90.2,NA,Chinese
CHNB2,China_Men,BENJA,China_Men,Men,NA,NA,NA,NA,69712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asia Pacific region,NA,Overall,https://doi.org/10.1016/j.ijcard.2017.12.069,182.1357,38.67,NA,49.8843,15.0813,111.7563,33.6429,108.275,88.75,Chinese
CHNB3,China_Women,BENJA,China_Women,Women,NA,NA,NA,NA,93929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asia Pacific region,NA,Overall,https://doi.org/10.1016/j.ijcard.2017.12.069,180.9756,39.0567,NA,54.5247,14.3079,110.9829,34.0296,95.85,71,Chinese
CHNBE,China Overall,BENJA,China Overall,Overall,NA,NA,NA,NA,163641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asia Pacific region,NA,Overall,https://doi.org/10.1016/j.ijcard.2017.12.069,181.749,39.0567,NA,52.2045,15.0813,111.3696,34.0296,101.175,78.9875,Chinese
CHU1,CHU1,Victoria,Chukchi,M,18,18-34,34,NA,,Chukchi,Victoria,SIB1,Chukchi,Chukchi,,,,Chukotka Autonomous Region,Tundra,,66-66.5,177-179.6,Russian Far East,NA,Unacculturated,"""""Metabolic Adaptation in Indigenous Siberian Populations""""",175,NA,NA,53,NA,116,NA,78,NA,Chinese
CHU1,CHU1,Victoria,Chukchi,M,35,35-44,44,NA,,Chukchi,Victoria,SIB1,Chukchi,Chukchi,,,,Chukotka Autonomous Region,Tundra,,66-66.5,177-179.6,Russian Far East,NA,Unacculturated,"""""Metabolic Adaptation in Indigenous Siberian Populations""""",189,NA,NA,53,NA,130,NA,78,NA,Chinese
CHU1,CHU1,Victoria,Chukchi,M,45,45-54,54,NA,,Chukchi,Victoria,SIB1,Chukchi,Chukchi,,,,Chukotka Autonomous Region,Tundra,,66-66.5,177-179.6,Russian Far East,NA,Unacculturated,"""""Metabolic Adaptation in Indigenous Siberian Populations""""",191,NA,NA,54,NA,130,NA,84,NA,Chinese
CHU1,CHU1,Victoria,Chukchi,M,55,55-64,64,NA,,Chukchi,Victoria,SIB1,Chukchi,Chukchi,,,,Chukotka Autonomous Region,Tundra,,66-66.5,177-179.6,Russian Far East,NA,Unacculturated,"""""Metabolic Adaptation in Indigenous Siberian Populations""""",197,NA,NA,58,NA,133,NA,88,NA,Chinese
COL,COL,BENJA,Colombia,Overall,NA,NA,NA,NA,6628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South America,NA,Overall,https://doi.org/10.1016/j.ijcard.2018.10.090,201.1,45.7,NA,41.9,11.7,118.9,34.7,181.5,145.4,other
cvd_UK,cvd_UK,BENJA,UK Biobank - With CVD,Overall,NA,NA,NA,NA,6216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,NA,High risk CVD,,233.9,42.4,NA,52.3,13.6,150.9,32.3,174.6,95.5,EUROPEAN
DEL1_A,DEL1-A,EM,Indian,M,55,55-64,64,NA,110,Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,58,14,115,42,NA,NA,Indian
DEL1_A,DEL1-A,EM,Indian,F,"35, 45","35-44, 45-54","44, 54",NA,"193, 212",Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,57,NA,NA,NA,NA,NA,Indian
DEL1_A,DEL1-A,EM,Indian,M,45,45-54,54,NA,121,Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,55,12,121,41,NA,NA,Indian
DEL1_A,DEL1-A,EM,Indian,F,"25, 55","25-34, 55-64","34, 64",NA,"235, 166",Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,58,NA,NA,NA,NA,NA,Indian
DEL1_A,DEL1-A,EM,Indian,M,35,35-44,44,NA,135,Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,54,13,119,37,NA,NA,Indian
DEL1_A,DEL1-A,EM,Indian,M,25,25-34,34,NA,173,Indian,EM,DEL1,Indian,Indian,,urban,,Delhi,Tropical Rainforest,India,28.61,77.21,Asia,NA,Integrated,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",NA,NA,NA,53,12,117,38,NA,NA,Indian
DEL1_A,DEL1-B,EM,Indian,F,55,55-64,64,NA,63,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",175,20,NA,51,10,94,17,151,26,Indian
DEL1_A,DEL1-B,EM,Indian,F,25,25-34,34,NA,93,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",171,20,NA,51,9,96,21,120,22,Indian
DEL1_A,DEL1-B,EM,Indian,M,45,45-54,54,NA,17,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",179,22,NA,49,11,99,21,155,34,Indian
DEL1_A,DEL1-B,EM,Indian,F,45,45-54,54,NA,47,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",186,38,NA,52,10,104,39,151,29,Indian
DEL1_A,DEL1-B,EM,Indian,F,35,35-44,44,NA,56,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",185,31,NA,54,9,103,30,138,24,Indian
DEL1_A,DEL1-B,EM,Indian,M,25,25-34,34,NA,31,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",175,36,NA,52,12,97,36,128,29,Indian
DEL1_A,DEL1-B,EM,Indian,M,55,55-64,64,NA,27,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",170,18,NA,50,11,90,18,152,28,Indian
DEL1_A,DEL1-B,EM,Indian,M,35,35-44,44,NA,25,Indian,EM,DEL1,Indian,Indian,,rural,,50km from Delhi in rural area,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,"""""Urban-rural differences in the prevalence of coronary heart disease and its risk factors in Delhi"""" Chadha et. al",194,35,NA,50,12,116,40,142,26,Indian
ELSA,ELSA,BENJA,England ELSA (Above 50yrs),Overall,NA,NA,NA,NA,4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,NA,Elderly [Above 50 Yrs] England,https://www.futuremedicine.com/doi/epdf/10.2217/bmm.14.78?src=getftr,230.0865,0.7734,NA,59.1651,0.3867,139.9854,0.7734,137.5625,53.25,EUROPEAN
ESK1,ESK1,KIKI,Alaska Eskimos,F,18,> 18,,NA,677,Alaskan Eskimos,"KIKI, ASHLEY",,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,,,"Norton Sound Region, Western Alaska",Arctic-Alpine desert,United States of America,64.2008,-165.4937,North America,Yes,Semi-acculturated,A genetic and epidemiologic study of cardiovascular disease in Alaska natives (GOCADAN): design and methods (Howard),203,NA,NA,115,NA,63,NA,129,NA,Circumpolar
ESK1,ESK1,KIKI,Alaska Eskimos,M,18,> 18,,NA,537,Alaskan Eskimos,"KIKI, ASHLEY",,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,,,"Norton Sound Region, Western Alaska",Arctic-Alpine desert,United States of America,64.2008,-165.4937,North America,Yes,Semi-acculturated,A genetic and epidemiologic study of cardiovascular disease in Alaska natives (GOCADAN): design and methods (Howard),196,NA,NA,117,NA,55,NA,126,NA,Circumpolar
ESK3,ESK3,AYANA,Eskimos,M,45,45+,,57.9,214,Alaskan Eskimos,KIKI,,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,Inupiat,,Norton Sound Region,Arctic-Alpine desert,United States of America,64.2008,-165.4937,North america,Yes,Unacculturated,"(Howard et al) """"Cardiovascular disease prevalence and it's relation to risk factors in Alaska Eskimo""""",NA,NA,NA,57.1,18.1,126.2,36.2,117.7,NA,NA
ESK3,ESK3,AYANA,Eskimos,F,45,45+,,58.3,285,Alaskan Eskimos,KIKI,,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,Inupiat,,Norton Sound Region,Arctic-Alpine desert,United States of America,64.2008,-165.4937,North america,Yes,Unacculturated,"(Howard et al) """"Cardiovascular disease prevalence and it's relation to risk factors in Alaska Eskimo""""",NA,NA,NA,68.6,18.9,124,36.3,124.3,NA,NA
ESK5,INU6,Emily,Greenland Inuit,M/F,18,18-89,89,44,2278,Greenland Inuit,Emily,INU6,Greenland Inuit,Inuit,,,,West Greenland,tundra,Greenland,77.010327,-54.768239,North America,NA,NA,The association of n-3 fatty acids with serum High Density Cholesterol (HDL) is modulated by sex but not by Inuit ancestry,NA,NA,NA,64.5789,21.2685,NA,NA,NA,NA,Circumpolar
ESK5,INU8,Emily,Greenland Inuit,F,,,,45.3,589,Greenland Inuit,Emily,INU8,Greenland Inuit,Inuit,,,,Greenland,tundra,Greenland,70.041395,-44.057762,North America,NA,Integrated,Cardiovascular risk amongst migrant and non-migrant Greenland Inuit in a gender perspective,NA,NA,NA,60.7119,NA,148.8795,NA,90.3414,NA,Circumpolar
ESK5,INU8,Emily,Greenland Inuit,M,,,,46.7,456,Greenland Inuit,Emily,INU8,Greenland Inuit,Inuit,,,,Greenland,tundra,Greenland,70.041395,-44.057762,North America,NA,Integrated,Cardiovascular risk amongst migrant and non-migrant Greenland Inuit in a gender perspective,NA,NA,NA,58.005,NA,147.7194,NA,86.7986,NA,Circumpolar
ESK5,INU9,Emily,Greenland Inuit,F,18,18+,,NA,117,Inuit,Emily,INU9,Greenland Inuit,Inuit,,,,Greenland,tundra,Greenland,69.199831,-42.080223,North America,NA,Integrated,Cardiovascular Risk Factors in Inuit of Greenland,NA,NA,NA,65.739,NA,NA,NA,NA,NA,Circumpolar
ESK5,INU9,Emily,Greenland Inuit,M,18,18+,,NA,117,Inuit,Emily,INU9,Greenland Inuit,Inuit,,,,Greenland,tundra,Greenland,69.199831,-42.080223,North America,NA,Integrated,Cardiovascular Risk Factors in Inuit of Greenland,NA,NA,NA,61.872,NA,NA,NA,NA,NA,Circumpolar
