"StudyID","Who","Population","Sex","HDL_Chol","SerumLevel","Age_LL","Age","Age_UL","Mean_Age","SD","N","N_Assumed","SL_SD","SL_SE","SL_Units","HDL_SD","HDL_Units","NonHDL_C","NonH_Units","LDL_Chol","LDL_SD","LDL_Units","Hypercholesterolemia_Prev","Triglyceride_Chol","Triglyceride_SD","Triglyceride_Units","Apo_A1","AA_Units","ApoB","ApoB_SD","AB_Units","Lp_a","Lpa_Units","Population_pop","Who_pop","Article_link","CrudeName","EthnicGroup","EthnicGroup_Notes","Subpopulation","Other_Classification","Location","Biome","Country","Lattitude","Longitude","Region","Sedentary","AcculturationLevel","ReferenceSource","SerumLevel_mg_dL","SL_SD_mg_dL","SL_SE_mg_dL","HDL_Chol_mg_dL","HDL_SD_mg_dL","LDL_Chol_mg_dL","LDL_SD_mg_dL","Triglyceride_Chol_mg_dL","Triglyceride_SD_mg_dL","Ancestry","Heritability","ANCESTRY","study_ID_Ancestry"
"FIN2-C","Claire","Finns","F",NA,297,"60","60-69","69","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,247,"20","20-29","29","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,286,"40","40-49","49","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,234,"15","15-19","19","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,299,"50","50-59","59","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,240,"20","20-29","29","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,279,"30","30-39","39","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,294,"50","50-59","59","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,212,"15","15-19","19","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,284,"70","70<","","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,256,"70","70<","","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,271,"60","60-69","69","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","F",NA,263,"30","30-39","39","272",NA,"940","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-C","Claire","Finns","M",NA,282,"40","40-49","49","266",NA,"975","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Ristijärvi","Ristijärvi","","East Rural","","East Finland","alpine/Tundra","Finland","64.5051","28.2071","Northern Europe",NA,"Isolated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,286,"50","50-59","59","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,231,"20","20-29","29","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,292,"70","70<","","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,295,"60","60-69","69","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,194,"15","15-19","19","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,242,"30","30-39","39","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,275,"60","60-69","69","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,261,"30","30-39","39","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,204,"15","15-19","19","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,270,"50","50-59","59","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,225,"20","20-29","29","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","F",NA,259,"40","40-49","49","256",NA,"1184","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,274,"40","40-49","49","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-D","Claire","Finns","M",NA,260,"70","70<","","254",NA,"1444","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","kuusankoski","kuusankoski","","South Semiurban","","South Finland","alpine/Tundra","Finland","60.54","26.38","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,285,"70","70<","","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,243,"30","30-39","39","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,262,"30","30-39","39","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,286,"50, 60","50-59, 60-69","59, 69","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,263,"40","40-49","49","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,295,"70","70<","","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,190,"15","15-19","19","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,203,"15","15-19","19","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","F",NA,237,"20","20-29","29","255",NA,"879","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,278,"40","40-49","49","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,281,"50","50-59","59","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,234,"20","20-29","29","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-E","Claire","Finns","M",NA,275,"60","60-69","69","257",NA,"772","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Suomussalmi","Suomussalmi","","East Semiurban","","East Finland","alpine/Tundra","Finland","64.8841","28.9117","northern Europe",NA,"Semi-acculturated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,271,"40","40-49","49","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,213,"15","15-19","19","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,303,"60","60-69","69","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,NA,"70","70<","","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","M",NA,211,"15","15-19","19","259",NA,"1309","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,299,"50","50-59","59","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","M",NA,281,"50","50-59","59","259",NA,"1309","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
"FIN2-F","Claire","Finns","F",NA,233,"20","20-29","29","262",NA,"447","Y",NA,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Finns","Claire","FIN2","Kuusankoski","Kuusankoski","","South Industrial","","South finland","alpine/Tundra","Finland","60.9069","26.6244","northern Europe",NA,"Integrated","""""Serum Cholesterol and Triglyceride Concentrations of Finns and Finnish Lapps""""",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uralic_Ancestry","FIN1-A"
