Who,StudyID,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,SD,N,N_Assumed ,SerumLevel,SL_SD,SL_SE,SL_Units,HDL_Chol,HDL_SD,HDL_Units,NonHDL_C,NonH_Units,LDL_Chol,LDL_SD,LDL_Units,Hypercholesterolemia_Prev,Triglyceride_Chol,Triglyceride_SD,Triglyceride_Units,Apo_A1,AA_Units,ApoB,ApoB_SD,AB_Units,Lp_a,Lpa_Units,,,
Ashley,CHN17-B,Chinese MetS,M,46,46-56,56,50,,87,N,,,,,1.1,,mmol/L,,,3.1,,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-B,Chinese MetS,F,46,46-56,56,47,,39,N,,,,,1.1,,mmol/L,,,3.2,,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-C,Chinese Newly MetS,M,41.8,41.8-55,55,50.5,,42,N,,,,,1.2,,mmol/L,,,3.2,0.9,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-C,Chinese Newly MetS,F,42,42-56.3,56.3,48.5,,34,N,,,,,1.5,,mmol/L,,,3.4,0.9,mmol/L,,,,,,,,,,,,,,
Gisele,CHN19-A,Chinese,F,45,45-59,59,51.9,3.1,150,N,160.8,3.58,,mg/dL,44.2,0.92,mg/dL,,,,,,4.6,,,,,,,,,,,,,
Gisele,CHN19-A,Chinese,M,45,45-59,59,51.6,3.4,150,N,159.2,3.2,,mg/dL,46.2,1.5,mg/dL,,,,,,4.4,,,,,,,,,,,,,
Gisele,CHN19-B,Chinese,M,45,45-59,59,51.3,2.1,98,N,176.7,7.01,,mg/dL,44.6,1.01,mg/dL,,,,,,18.2,,,,,,,,,,,,,
Gisele,CHN19-B,Chinese,F,45,45-59,59,51.7,3.3,92,N,164,4.81,,mg/dL,45.9,1.21,mg/dL,,,,,,11.6,,,,,,,,,,,,,
Gisele,CHN19-C,Chinese,M,45,45-59,59,52.3,4.2,100,N,188.4,5.41,,mg/dL,33,1.4,mg/dL,,,,,,29.5,,,,,,,,,,,,,
Gisele,CHN19-C,Chinese,F,45,45-59,59,51.7,5.2,98,N,205.9,5.68,,mg/dL,35.8,1.65,mg/dL,,,,,,41.9,,,,,,,,,,,,,
Emily,CHN2,Chinese,M,49,49-94,94,57,8,1160,N,5.09,1.25,,mmol/L,1.21,0.38,mmol/L,,,3.41,1.1,mmol/L,,1.43,1.16,mmol/L,,,,,,,,serum total cholesterol and triglycerides were measured by the enzymatic colorimetric method; direct methods were applied to assess HDLc and LDLc,,
Emily,CHN2,Chinese,F,37,37-74,74,55,7,2780,N,5.51,1.32,,mmol/L,1.45,0.47,mmol/L,,,3.6,1.18,mmol/L,,1.3,0.97,mmol/L,,,,,,,,serum total cholesterol and triglycerides were measured by the enzymatic colorimetric method; direct methods were applied to assess HDLc and LDLc,,
Emily,CHN4-A,Uygur,M/F,30,30-70,70,52,12.2,1379,N,4.3,0.9,,mmol/L,0.98,0.24,mmol/L,,,2.5,0.7,mmol/L,,2,1.4,mmol/L,,,,,,,,,,
Emily,CHN4-B,Kazak,M/F,30,30-70,70,49.3,12.3,1123,N,5,0.7,,mmol/L,1.4,0.5,mmol/L,,,2.2,1,mmol/L,,1.4,1.3,mmol/L,,,,,,,,,,
Emily,CHN5-A,Uygur,M/F,20,20-80,80,49.9,12.8,1571,N,4.62,,1.02,mmol/L,,,,,,,,,,2.09,0.96,mmol/L,,,,,,,,,uses standard error of the mean instead of standard deviation,
Emily,CHN5-B,Kazak,M/F,20,20-80,80,44,12,2913,N,5.12,,0.91,mmol/L,,,,,,,,,,1.31,1.41,mmol/L,,,,,,,,,uses standard error of the mean instead of standard deviation,
EM,CHN9,Chinese,M/F,26,26-35,35,,,995,N,151.8,,,mg/dL,60.8,,mg/dl,,,73.2,,mg/dl,,89.9,,mg/dl,,,,,,,,,,
EM,CHN9,Chinese,M/F,36,36-45,45,,,546,N,154.6,,,mg/dL,61.8,,mg/dl,,,73.2,,mg/dl,,97.9,,mg/dl,,,,,,,,,,
EM,CHN9,Chinese,M/F,66,66-70,70,,,90,N,167.6,,,mg/dL,62,,mg/dl,,,89,,mg/dl,,90.2,,mg/dl,,,,,,,,,,
EM,CHN9,Chinese,M/F,20,20-25,25,,,246,N,141.7,,,mg/dL,62.1,,mg/dl,,,61.7,,mg/dl,,91.5,,mg/dl,,,,,,,,,,
EM,CHN9,Chinese,M/F,56,56-65,65,,,287,N,165,,,mg/dL,66.5,,mg/dl,,,79.9,,mg/dl,,92.5,,mg/dl,,,,,,,,,,
EM,CHN9,Chinese,M/F,46,46-55,55,,,378,N,161.6,,,mg/dL,67.3,,mg/dl,,,75.4,,mg/dl,,101.7,,mg/dl,,,,,,,,,,
Victoria,CHU1,Chukchi,M,18,18-34,34,,,,,175,,,mg/dL,53,,mg/dL,,,116,,mg/dL,,78,,mg/dL,,,,,,,,,,
Victoria,CHU1,Chukchi,M,35,35-44,44,,,,,189,,,mg/dL,53,,mg/dL,,,130,,mg/dL,,78,,mg/dL,,,,,,,,,,
Victoria,CHU1,Chukchi,M,45,45-54,54,,,,,191,,,mg/dL,54,,mg/dL,,,130,,mg/dL,,84,,mg/dL,,,,,,,,,,
Victoria,CHU1,Chukchi,M,55,55-64,64,,,,,197,,,mg/dL,58,,mg/dL,,,133,,mg/dL,,88,,mg/dL,,,,,,,,,,
EM,DEL1-A,Indian,M,25,25-34,34,,,173,N,,,,,53,12,mg/dl,,,117,38,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,M,35,35-44,44,,,135,N,,,,,54,13,mg/dl,,,119,37,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,M,45,45-54,54,,,121,N,,,,,55,12,mg/dl,,,121,41,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,F,35,35-44,44,,,193,N,,,,,57,13,mg/dl,,,114,37,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,F,45,45-54,54,,,212,N,,,,,57,14,mg/dl,,,120,44,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,M,55,55-64,64,,,110,N,,,,,58,14,mg/dl,,,115,42,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,F,25,25-34,34,,,235,N,,,,,58,12,mg/dl,,,109,32,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,F,55,55-64,64,,,166,N,,,,,58,15,mg/dl,,,121,43,mg/dl,,,,,,,,,,,,,,
EM,DEL1-A,Indian,M,25,25-34,34,,,225,N,198,39,,mg/dL,,,,,,,,,,123,28,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,M,35,35-44,44,,,158,N,202,39,,mg/dL,,,,,,,,,,133,57,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,M,45,45-54,54,,,158,N,210,43,,mg/dL,,,,,,,,,,150,57,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,M,55,55-64,64,,,140,N,211,46,,mg/dL,,,,,,,,,,168,52,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,F,25,25-34,34,,,309,N,194,37,,mg/dL,,,,,,,,,,108,47,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,F,35,35-44,44,,,257,N,203,40,,mg/dL,,,,,,,,,,126,51,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,F,45,45-54,54,,,282,N,215,47,,mg/dL,,,,,,,,,,154,52,mg/dl,,,,,,,,,,
EM,DEL1-A,Indian,F,55,55-64,64,,,236,N,217,42,,mg/dL,,,,,,,,,,168,53,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,M,45,45-54,54,,,17,N,179,22,,mg/dL,49,11,mg/dl,,,99,21,mg/dl,,155,34,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,M,35,35-44,44,,,25,N,194,35,,mg/dL,50,12,mg/dl,,,116,40,mg/dl,,142,26,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,M,55,55-64,64,,,27,N,170,18,,mg/dL,50,11,mg/dl,,,90,18,mg/dl,,152,28,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,F,25,25-34,34,,,93,N,171,20,,mg/dL,51,9,mg/dl,,,96,21,mg/dl,,120,22,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,F,55,55-64,64,,,63,N,175,20,,mg/dL,51,10,mg/dl,,,94,17,mg/dl,,151,26,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,M,25,25-34,34,,,31,N,175,36,,mg/dL,52,12,mg/dl,,,97,36,mg/dl,,128,29,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,F,45,45-54,54,,,47,N,186,38,,mg/dL,52,10,mg/dl,,,104,39,mg/dl,,151,29,mg/dl,,,,,,,,,,
EM,DEL1-B,Indian,F,35,35-44,44,,,56,N,185,31,,mg/dL,54,9,mg/dl,,,103,30,mg/dl,,138,24,mg/dl,,,,,,,,,,
AYANA,ESK3,Eskimos,M,45,45+,,57.9,,214,N,,,,,57.1,18.1,mg/dL,150.8,mg/dL,126.2,36.2,mg/dL,,117.7,,mg/dL,,,105.2,24.1,mg/dL,,,,,
AYANA,ESK3,Eskimos,F,45,45+,,58.3,,285,N,,,,,68.6,18.9,mg/dL,151.4,mg/dL,124,36.3,mg/dL,,124.3,,mg/dL,,,106.5,22.9,mg/dL,,,,,
EM,ESK5-A,Greenland Inuit,M/F,30,30-83,83,51.8,,130,N,5.58,,,mmol/L,,,,,,,,,,0.43,,mmol/L,,,,,,3.64,g/L,After 10-12 hours of fasting; Beckman GCM gas chromatograph,,
EM,ESK5-B,Greenland Inuit,M/F,27,27-51,51,38.3,,32,N,7.3,,,mmol/L,,,,,,,,,,1.12,,mmol/L,,,,,,4.24,g/L,After 10-12 hours of fasting; Beckman GCM gas chromatograph,,
EM,ESK8,Yakut,M,18,,,42.6,12.7,65,N,4.73,1.11,,mmol/L,1.27,0.42,mmol/l,,,3.26,1,mmol/l,,0.62,,mmol/l,,,,,,,,"After 12 hour fast, CardioChek PA analyzer and PTS panels",,
EM,ESK8,Yakut,F,18,,,40.8,13.2,101,N,5.18,1.25,,mmol/L,1.41,0.38,mmol/l,,,3.63,1.16,mmol/l,,0.59,,mmol/l,,,,,,,,"After 12 hour fast, CardioChek PA analyzer and PTS panels",,
Victoria,EVE1,Evenki,M,65,65+,,,,,,150,,,mg/dL,34,,mg/dL,,,107,,mg/dL,,63,,mg/dL,,,,,,,,,,
Victoria,EVE1,Evenki,M,45,45-54,54,,,,,146,,,mg/dL,41,,mg/dL,,,90,,mg/dL,,95,,mg/dL,,,,,,,,,,
Victoria,EVE1,Evenki,M,35,35-44,44,,,,,155,,,mg/dL,45,,mg/dL,,,96,,mg/dL,,86,,mg/dL,,,,,,,,,,
Victoria,EVE1,Evenki,M,18,18-34,34,,,,,134,,,mg/dL,46,,mg/dL,,,74,,mg/dL,,81,,mg/dL,,,,,,,,,,
Victoria,EVE1,Evenki,M,55,55-64,64,,,,,147,,,mg/dL,46,,mg/dL,,,84,,mg/dL,,86,,mg/dL,,,,,,,,,,
Phoebe ,FIL2-A,Filipino,F,,,,47.8,0.3,476,N,,,,,51.5,,mg/dL,,,128.6,,mg/dL,,,,,,,,,,,,,,
Phoebe,FIL2-B,Filipino,F,,,,50.6,0.3,313,N,,,,,38.9,,mg/dL,,,122.1,,mg/dL,,,,,,,,,,,,,,
Phoebe,FIL2-C,Filipino,F,,,,47.4,0.2,654,N,,,,,35.5,,mg/dL,,,106.1,,mg/dL,,,,,,,,,,,,,,
Phoebe,FIL2-D,Filipino,F,,,,50,0.7,84,N,,,,,39.8,,mg/dL,,,123.6,,mg/dL,,,,,,,,,,,,,,
Phoebe,FIL2-E,Filipino,F,,,,48.7,0.4,241,N,,,,,38.1,,mg/dL,,,132.1,,mg/dL,,,,,,,,,,,,,,
Claire,FIN1-A,Finns,M,15,15-19,19,,,628,N,200,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,20,20-29,29,,,1308,N,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,30,30-39,39,,,1523,N,264,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,40,40-49,49,,,1552,N,278,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,50,50-59,59,,,1095,N,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,60,60-69,69,,,602,N,273,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,M,70,70<,,,,221,N,257,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,15,15-19,19,,,520,N,213,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,20,20-29,29,,,846,N,237,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,30,30-39,39,,,845,N,248,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,40,40-49,49,,,948,N,270,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,50,50-59,59,,,728,N,292,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,60,60-69,69,,,552,N,295,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-A,Finns,F,70,70<,,,,258,N,284,,,mg/dL,,,,,,,,,,,,,,,,,,,,Fasted for at least 4 hours and some fasted more or less than 12 hours with a Techicon AutoAnalyzer,,
Claire,FIN1-B,Lapps,M,0,0-4,4,,,10,N,218,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,5,9-May,9,,,35,N,187,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,10,14-Oct,14,,,57,N,203,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,15,15-19,19,,,52,N,198,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,20,20-29,29,,,41,N,238,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,30,30-39,39,,,42,N,279,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,40,40-49,49,,,41,N,281,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,50,50-59,59,,,39,N,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,60,60-69,69,,,58,N,280,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,M,70,70<,,,,7,N,276,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,0,0-4,4,,,16,N,232,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,5,9-May,9,,,29,N,202,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,10,14-Oct,14,,,58,N,298,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,15,15-19,19,,,52,N,221,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,20,20-29,29,,,57,N,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,30,30-39,39,,,53,N,271,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,40,40-49,49,,,57,N,268,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,50,50-59,59,,,56,N,300,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,60,60-69,69,,,43,N,296,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN1-B,Lapps,F,70,70<,,,,25,N,255,,,mg/dL,,,,,,,,,,,,,,,,,,,,"Fasted overnight before the examination, most reported fasting more than 12 hours and some below-- samples drawn immediately after arrivate at examination site. Collected by Technicon AutoAnalyzer equipment",,
Claire,FIN2-A,Lapps,M,15,15-19,19,262,,280,Y,198,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,20,20-29,29,262,,280,Y,238,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,30,30-39,39,262,,280,Y,269,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,40,40-49,49,262,,280,Y,281,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,50,50-59,59,262,,280,Y,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,60,60-69,69,262,,280,Y,280,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,M,70,70<,,262,,280,Y,276,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,15,15-19,19,264,,343,Y,221,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,20,20-29,29,264,,343,Y,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,30,30-39,39,264,,343,Y,271,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,40,40-49,49,264,,343,Y,268,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,50,50-59,59,264,,343,Y,300,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,60,60-69,69,264,,343,Y,296,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-A,Lapps,F,70,70<,,264,,343,Y,254,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,15,15-19,19,257,,859,Y,207,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,20,20-29,29,257,,859,Y,234,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,30,30-39,39,257,,859,Y,269,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,40,40-49,49,257,,859,Y,281,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,50,50-59,59,257,,859,Y,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,60,60-69,69,257,,859,Y,280,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,M,70,70<,,257,,859,Y,276,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,15,15-19,19,261,,893,Y,221,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,20,20-29,29,261,,893,Y,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,30,30-39,39,261,,893,Y,271,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,40,40-49,49,261,,893,Y,268,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,50,50-59,59,261,,893,Y,300,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,60,60-69,69,261,,893,Y,296,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-B,Finns,F,70,70<,,261,,893,Y,254,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,15,15-19,19,266,,975,Y,212,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,20,20-29,29,266,,975,Y,240,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,30,30-39,39,266,,975,Y,279,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,40,40-49,49,266,,975,Y,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,50,50-59,59,266,,975,Y,294,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,60,60-69,69,266,,975,Y,271,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,M,70,70<,,266,,975,Y,256,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,15,15-19,19,272,,940,Y,234,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,20,20-29,29,272,,940,Y,247,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,30,30-39,39,272,,940,Y,263,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,40,40-49,49,272,,940,Y,286,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,50,50-59,59,272,,940,Y,299,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,60,60-69,69,272,,940,Y,297,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-C,Finns,F,70,70<,,272,,940,Y,284,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,15,15-19,19,254,,1444,Y,194,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,20,20-29,29,254,,1444,Y,225,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,30,30-39,39,254,,1444,Y,261,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,40,40-49,49,254,,1444,Y,274,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,50,50-59,59,254,,1444,Y,270,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,60,60-69,69,254,,1444,Y,275,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,M,70,70<,,254,,1444,Y,260,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,15,15-19,19,256,,1184,Y,204,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,20,20-29,29,256,,1184,Y,231,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,30,30-39,39,256,,1184,Y,242,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,40,40-49,49,256,,1184,Y,259,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,50,50-59,59,256,,1184,Y,286,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,60,60-69,69,256,,1184,Y,295,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-D,Finns,F,70,70<,,256,,1184,Y,292,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,15,15-19,19,257,,772,Y,190,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,20,20-29,29,257,,772,Y,234,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,30,30-39,39,257,,772,Y,262,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,40,40-49,49,257,,772,Y,278,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
