BLV,Who,StudyID,Article link,CrudeName,EthnicGroup,EthnicGroup_Notes,Population,Subpopulation,Other_Classification,Location,DPlaceID,DPlaceID_2,DPlaceID_3,DPlaceID_4,DPlaceID_5,Biome,Country,Lattitude,Longitude,Region,PubDate,TimeFrame,EconBase_TOS,ECONNOTES,EconBase_TRAD,Sedentary,AcculturationLevel,Acculturation_quant,AccNotes,DietStaples,SmokingNotes,AlcoholNotes,ReferenceSource,Notes,AdditionalSources
"3,6",ABIGAIL,SOL1-B,,Nagovisi,Nagovisi,Name used specifically in paper . All groups listed are 'melanesian' and exist on the solomon islands,,,,Solomon islands,,,,,,Tropical Rainforest,Solomon Islands,-9.64571,160.156194,Oceania,1974,1970,IA,see table,IA,,semi-acculturated,3,"MosthouseholdsconsumedsomekindofEuropeanfoodeveryotherday,andmanyusedsuchfoodseveryday.Fourhundredninety-threepersons,representing96%ofthedefinedsample,wereexami","European food daily in most homes, western dietary items ",,,"""Antecedents of Cardiovascular disease in six solomon island societies"" Page",,
"3,6",ABIGAIL,SOL1-C,,Aita,Aita,Name used specifically in paper . All groups listed are 'melanesian' and exist on the solomon islands,,,,Solomon islands,,,,,,Tropical Rainforest,Solomon Islands,-9.64571,160.156194,Oceania,1974,1970,IA,swidden farming,IA,,semi-acculturated,3,began to travel out for wage work and participate in cash crop cultivation ,"Taro, sweet potato, rice",,,"""Antecedents of Cardiovascular disease in six solomon island societies"" Page",,
"3,6",ABIGAIL,SOL1-D,,Kwaio,Kwaio,Name used specifically in paper . All groups listed are 'melanesian' and exist on the solomon islands,,,,East Central Malaita,Ig18,,,,,Tropical Rainforest,Solomon Islands,-9.64571,160.156194,Oceania,1974,1966,IA,swidden farming,IA,,unacculturated,1,"""traditional ways"" 
No european food present","Mostly sweet potatoes, leafy greens, grubs etc. ",,,"""Antecedents of Cardiovascular disease in six solomon island societies"" Page",,
"3,6",ABIGAIL,SOL1-E,,Lau,Lau,Name used specifically in paper . All groups listed are 'melanesian' and exist on the solomon islands,,,,Northeast Malaita,Ih4,,,,,Tropical Rainforest,Solomon Islands,-9.64571,160.156194,Oceania,1974,1968,FG,"Fisherman and obtained vegetables from gardens on the mainland (Baegu). Some cash seling of shells and trade, but fishing is the primary. ",FG,,unacculturated,1,"Education and medical care were available at the missions but were infrequently sought after by pagans, all living as ""hold-outs"" on sacred land","Taro, sweet potatoes, fish, all cooked in sea water",,,"""Antecedents of Cardiovascular disease in six solomon island societies"" Page",,
"3,6",ABIGAIL,SOL1-F,,Baegu,Baegu,Name used specifically in paper . All groups listed are 'melanesian' and exist on the solomon islands,,,,Solomon islands,,,,,,Tropical Rainforest,Solomon Islands,-9.64571,160.156194,Oceania,1974,1968,IA ,swidden farming,IA,,acculturated ,4,"Primary education, medical care available, contact with missions and government representatives","Taro, sweet potatoes, fish from Lau, ",,,"""Antecedents of Cardiovascular disease in six solomon island societies"" Page",,
"1,6","EM, ASHLEY",VIS1-A,,Khondh,Khondh,Name specifically used in the paper as a group ,,,Tribe name ,Visakhapatnam District,Eg12,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,,,,,unacculturated,1,"Two tribal groups, namely KhondhŽrepresents a primitive􏰃unacculturized tribal group.","In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
"3,6",CAMERON,YAN2,,Yanomamo,Yanomamo,Specified,Yanomamo,,,Surucucu Plateau,,,,,,Tropical Rainforest,Brazil,2.68,-63.627,South America,1990,1987,IA,slash and burn agriculturailists,,semi-nomadic,unacculturated,1,"""(the most isolated tribe in South America and probably the world)""","largely vegetarian diet, low in fats and cholesterol and high in fiber

On the Surucucu plateau there is little, if any, access to processed sugar, salt, alcohol, milk and other dairy products, or eggs from domesticated fowl.",,little to no access,""" Lipid Profiles of Yanomamo Indians of Brazil"" Carvalho",,
"1,6",EM,VIS1-B,,Valmiki,Valmiki,Name specifically used in the paper as a group ,,,Tribe name ,Visakhapatnam District,,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,,,,,semi-acculturated,2,Valmiki Žrepresenting an acculturizing􏰃modernizing tribal group.,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
"1,6",EM,VIS1-C,,Wadabalija,Wadabalija,Name specifically used in the paper as a caste,,,Rural,Visakhapatnam District,,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,W,traders,,,semi-acculturated,2,rural,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
"1,6",EM,VIS1-D,,Wadabalija,Wadabalija,Name specifically used in the paper as a caste,,,Urban ,Visakhapatnam District,,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,W,traders,,,acculturated ,4,urban,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
"1,6",EM,VIS1-E,,Settibalija,Settibalija,Name specifically used in the paper as a caste,,,Rural,Visakhapatnam District,,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,W,traders,,,semi-acculturated,2,rural ,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
"1,6",EM,VIS1-F,,Settibalija,Settibalija,Name specifically used in the paper as a caste,,,Urban ,Visakhapatnam District,,,,,,Tropical Rainforest,India,17.686815,83.218483,Asia,2001,,W,traders,,,acculturated ,4,urban ,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available",,"In addition, a certain amount of variance among these populations may be due to varia- tion in the intake of dietary sodium and alcohol, for which data were not available","""Group- and sex-specific effects of age, body composition and pulse rate on blood pressure variability in some cross-cultural populations of Visakhapatnam District; South India"" Kusuma",,
6,EM,INU2,,Inuit,Greenland Inuit,"Name used in paper, specification by region",,,,Ammassalik Island,B390,Na14,,,,Tundra,Greenland,65.715,-37.58412,North America,2003,1962-1964,FG,"""the main occupation was seal hunting with some fishing",FG,,semi-acculturated,2,"describe Inuit body build in a pure Inuit population before transition of the Inuit society, i.e. before a more sedentary life style, but after introduction of food supplies to compensate for periods of shortage of food, and after development of a modern health care system",,,,"""Body proportions in healthy adult Inuit in East
Greenland in 1963"" Andersen et.al. ",     ,
6,EM,INU3-A,,Inuit,Greenland Inuit,"Name used in paper, specification by region",,,,Nuuk,B390,Na14,,,,Tundra,Greenland,64.177,-51.728,North America,2004,1998,,"""the main occupation was seal hunting with some fishing",FG,,semi-acculturated,3,"Westernization has occurred at different paces in different parts of Greenland (16). Today, Inuit in the capital Nuuk have the most Westernized way of living and Inuit in settlements the least, with Inuit in towns being intermediate in their Westernization. These groups were used to analyze the relation between Westernization and overweight and obesity in Greenland Inuit. The historic data allowed for com",,,,"""Gender diversity in developing overweight over 35 years of
Westernization in an Inuit hunter cohort and ethno-specific
body mass index for evaluation of body-weight abnormalities"" Andersen et. al.",,
6,EM,INU3-B,,Inuit,Greenland Inuit,"Name used in paper, specification by region",,,,Tasiilaq,B390,Na14,,,,Tundra,Greenland,65,-37,North America,2004,1998,,"""the main occupation was seal hunting with some fishing",FG,,semi-acculturated,2,"Westernization has occurred at different paces in different parts of Greenland (16). Today, Inuit in the capital Nuuk have the most Westernized way of living and Inuit in settlements the least, with Inuit in towns being intermediate in their Westernization. These groups were used to analyze the relation between Westernization and overweight and obesity in Greenland Inuit. The historic data allowed for com",,,,"""Gender diversity in developing overweight over 35 years of
Westernization in an Inuit hunter cohort and ethno-specific
body mass index for evaluation of body-weight abnormalities"" Andersen et. al.",,
6,EM,INU3-C,,Inuit,Greenland Inuit,"Name used in paper, specification by region",,,,Settlements,B390,Na14,,,,Tundra,Greenland,65,-37,North America,2004,1998,,"""the main occupation was seal hunting with some fishing",FG,,semi-acculturated,2,"Westernization has occurred at different paces in different parts of Greenland (16). Today, Inuit in the capital Nuuk have the most Westernized way of living and Inuit in settlements the least, with Inuit in towns being intermediate in their Westernization. These groups were used to analyze the relation between Westernization and overweight and obesity in Greenland Inuit. The historic data allowed for com",,,,"""Gender diversity in developing overweight over 35 years of
Westernization in an Inuit hunter cohort and ethno-specific
body mass index for evaluation of body-weight abnormalities"" Andersen et. al.",,
"1,3,6","VEDHIKA, ASHLEY",CAN1,,Rural Chinese,Cantonese,Exclude urban because ethnic group not specified,,,Rural ONLY,Guangzhou,Ed16,,,,,Tropical Desert,China,23,113,Asia,1984,1983,W,"""population from a single production brigade""",,,semi-acculturated,3,"community control programs in place for health education, wage economy tranistion",Salt intake determined by urinary secretion 7.3 g ,,,"""Effects of aging on arterial distensibility in populations with high and low prevalence of hypertension: comparison between urban and rural communities in China"" Avolio et.al.",,
"1,6","VEDHIKA, ASHLEY",MALA3,,Orang Asli,Semai,regionally specific name for orang asli,,,,Kampung Sungai Ruil,Ej14,Ej8,,,,Tropical Rainforest,Malaysia,4.46,101.38487,Asia,2013,2012,W,mostly wage workers,FG,,acculturated,4,transition to wage economy,poor diet quality ,,,"""Body fat percentage distribution of an orang asli group (aborigines) in cameron highlands, Malaysia"" Azuwani et.al",,
6,VEDHIKA,MALA4,,Orang Asli,Jahai ,ethnic group majority listed in abstract,,,,Lembah Belum,Ej3,,,,,Tropical Rainforest,Malaysia,5.43,101.137,Asia,2007,2002,H,most of physical activity was spent farming,FG,,semi-acculturated ,2,"mostly traditional lifestyle, maintained mode of subsistence of fishing and hunting, but also farming ","Poor dietary intake and undernutrition, especially with mothers that may carry over to children ",57.9% smoking 1-5 cigarettes per day ,34.8% consume alcoholic drinks ,"""Anthropometric indices and life style practices of the
indigenous Orang Asli adults in Lembah Belum, Grik of
Peninsular Malaysia"" Yusof et.al. ",,
6,VEDHIKA,BAA2,,Baaka,Baka,Bayaka,,,,Cameroon,B63,,,,,Tropical Rainforest,Cameroon ,2,14,Africa,2000,1996,FG,stated as being hunter gatherers,FG,,semi-acculturated,2,live near villiages of groups who parttake in agriculture and perform some horticulture,Mostly starch and cereals ,,,"""Nutritional status, activity pattern, and dietary intake amond the baka hunter-gatherers in the villiage camps in cameroon"" yamauchi ",,
"1,4,6",EM,CAM1-A,,Rural and Urban ,Rural Cameroonian ,Not specifying a particular group ,,,,Biyem-assi,Ae42,,,,,Tropical Rainforest,Cameroon ,3,11,Africa,2004,,W,,H,,acculturated,4,living in an urban environment,,No smoking,No drinking,"""Environment and its relation with obesity,diabetes, and hypertension in rural and urban Cameroon""Sobngwi

",,
"1,4,6",EM,CAM1-B ,,Rural and Urban ,Urban Camaroonian,,,,,Bafut,Ae9,,,,,Tropical Rainforest,Cameroon ,6,10,Africa,2004,,H,subsistence farming,FG,,semi-acculturated,2,subsistence farming,,No smoking,No drinking,"""Environment and its relation with obesity,diabetes, and hypertension in rural and urban Cameroon""Sobngwi

",,
"1, 3, 4, 6  ",EM,ORA5-A,,,Seletar,Specified,,,,Batu Bakar,,,,,,Tropical Rainforest,Malaysia,1.5,103.8,Asia,2015,,W,urbanized,FG,,acculturated,4,highly urbanized,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-B,,,Jakun,Specified,,,,Cameron Highlands,,,,,,Tropical Rainforest,Malaysia,4.5,101.4,Asia,2015,,W,fishermen and laborers,FG,,semi-acculturated,3,,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-C,,,Mahmeri,Specified,,,,Cameron Highlands,,,,,,Tropical Rainforest,Malaysia,4.5,101.4,Asia,2015,,W,"craftsmen, fisherman",FG,,semi-acculturated,3,,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-D,,,Semai,Specified,,,,Cameron Highlands,Ej3?,,,,,Tropical Rainforest,Malaysia,4.5,101.4,Asia,2015,,H,Agriculture,FG,,semi-acculturated,2,still partly hunter gatherers,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-E,,,Jehai,Specified,,,,Belum,,,,,,Tropical Rainforest,Malaysia,5,101,Asia,2015,,H,,FG,,semi-acculturated,3,Receiving more government assitance and non-traditional,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-F,,,Mendriq,Specified,,,,Gua Musang,,,,,,Tropical Rainforest,Malaysia,4.8,101,Asia,2015,,H,,FG,,semi-acculturated,3,Receiving more government assitance and non-traditional,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
"1, 3, 4, 6",EM,ORA5-G,,,Batek,Specified,,,,Gua Musang,,,,,,Tropical Rainforest,Malaysia,4.8,101,Asia,2015,,H,,FG,,semi-acculturated,3,Receiving more government assitance and non-traditional,,,,"""Cardio-metabolic health risks in indigenouspopulations of Southeast Asia and the influenceof urbanization"" Phipps et.al.",,
6,VEDHIKA,EFE1,,African Pygmies,Efe,Specified ,,,,Ituri Forest,B64,,,,,Tropical Rainforest,Congo,2.7,27.64,Africa,1991,1980-1989,FG,,FG,semi-nomadic,unacculturated,1,little or no access to medical care,current diet and lifestyle the same as they were 50 years ago ,,,"""The comparative growth of Efe pygmies and african farmers from birth to age 5 years"" Bailey ",,
,"CAMERON, ASHLEY",MALA5,,Malaysian Aborigines,Malay,"West Malaysia, not specified to the specific subgroup",,,,Central West Malaysia,Ej8,,,,,Tropical Rainforest,Malaysia,5,103,Asia,1972,,FG,lived a strenuous life hunting and growing food,FG,,unacculturated,1,"isolated location, traditional food",largely unrefined carbohydrates,,,"""Risk factors and the absence of coronary heart disease in aborigines in West Malaysia"" Burns-Cox et.al",,
"1,6","CAMERON, ASHLEY",MALA6,,Senoi ,Senoi ,Women only ,,,,Perak,Ej14,,,,,Tropical Rainforest,Malaysia,4.567,101.08,Asia,2020,,W,"Some women work in sales, excess agriculture ",FG,,semi-acculturated,3,housewives but seemingly extensive educations and living in household ,food and micronutrient insecurity ,,,"""Predictors of Overweight and Obesity and Its Consequences among Senoi Orang Asli (Indigenous People) Women in Perak, Malaysia"" Law et.al ",,
,"Phoebe, ASHLEY",JAV1,,Javanese ,Javanese,"Combined, specified",,,,"Tjuwelo, Kedungpho, Jogjakarta",Ib2,SCCS83,,,,Tropical Rainforest,Indonesia,-7,110,Asia,1963,,IA,Intense rice cultivation for 1/3 populations sampled. ,IA,,semi-acculturated,2,"not specified, but Bailey  et.al. states that there is a hospital available that individuals regularly visit","Blood-pressure was studied in three villages. One, Pakem,wasinthedenselypopulatedirrigatedricefield area near Jogjakarta. The other two, Tjuwelo and Kedungpoh, were in the unfertile limestone hil region of Gunung Kidul, further east of Jogjakarta, where cassava (tapioca) was the staple foodstuff. 18% of those aged over 40 had nutritional oedema, due usually to calorie deficiency superimposed on severe protein deficiency.",,,"""BLOOD-PRESSURE IN UNDERNOURISHED JAVANESE"" Bailey",,
"4,6","Phoebe, ASHLEY",KUN1,,!Kung,Kung,removed punctuation for analysis,!Kung Bushmen,,,Dobe,Aa1,B72,SCCS2,,,Tropical Desert,Botswana,-19,21,Africa,1971,1970,FG,live by hunting game and gathering vegetation,FG,,unacculturated,1,"unnaccustomed to white researchers, enagaging in hunting/gathering","near-starvation, overindulgence, carbohydrate rich vegetable food",,,"""Metabolic
Responses
to
Oral
Glucose
in
the
Kalahari
Bushmen"" Joffe",,
,,BAB1,,Babinga Pygmy,Babinga,"Specified, bordered by Bantu, no diet ONLY ",Babinga,,NO DIET ONLY ,Lobaye Region,,,,,,Tropical Rainforest,Central African Republic,4.16,17.58,Africa,1972,1971,FG,no indications of change in economic base,FG,,unacculturated,1,"Collecting data pre-intervention only. Groups stated explicitly as being isolated, but a modified diet was introduced to some of the population which may have interacted with true ""unacculturated"" status.",,,,"""Metabolic studies in the African Pygmy"" Merimee et.al.",,
,"Phoebe, ASHLEY",BAN6,,Bantu,Bantu,"Specified, Bordered by Banbinga",Bantu,,,Lobaye Region,,,,,,Tropical Rainforest,Central African Republic,4.16,17.58,Africa,1972,1971,FG ,no indications of change in economic base,FG,,unacculturated,1,"Collecting data pre-intervention only. Groups stated explicitly as being isolated, but a modified diet was introduced to some of the population which may have interacted with true ""unacculturated"" status.",,,,,,
"3,6",CAMERON,YAN2,,Yanomamo,Yanomamo,Specified,Yanomamo,,,Surucucu Plateau,SCCS163,Sd9,,,,Tropical Rainforest,Brazil,2.68,-63.627,South America,1990,1987,IA,slash and burn agriculturailists,,semi-nomadic,unacculturated,1,"""(the most isolated tribe in South America and probably the world)""","largely vegetarian diet, low in fats and cholesterol and high in fiber

On the Surucucu plateau there is little, if any, access to processed sugar, salt, alcohol, milk and other dairy products, or eggs from domesticated fowl.",,little to no access,""" Lipid Profiles of Yanomamo Indians of Brazil"" Carvalho",,
"3,6","ABIGAIL, Victoria",TOK2,TOK2,Tokelau,Tokelau,"Specified location of study, other data present under this ethnic group so copying for continuity",Tokelau,,,Tokelau,,,,,,Tropical Rainforest,Polynesia,-9.2002,-171.8484,Oceania,1977,1964,FG,Fish is the primary source of protein. Cargo boats only come every few months. ,FG,,Semi-acculturated,2,Cargo boats every few months with starchy foods,"Coco- nut palms, pandanus, breadfruit, and starchy aroids are the only food crops of importance. Consume more cocunut than PUK1",Rarely consumed,"""Cholesterol, coconuts, and diet on Polynesian atolls: a natural experiment: the Pukapuka and Tokelau Island studies"" Prior et. al",,,
,Phoebe,PUK1,,Pukapuka,Pukapuka,Specified location of study,Pukapuka,,,Pukapuka,Ii3,,,,,Tropical Rainforest,Polynesia,-10,-165,Oceania,1977,1964,FG,Fish is the primary source of protein. Cargo boats only come every few months. ,FG,,semi-acculturated,2,Cargo boats every few months with starchy foods,"Coco-
nut palms, pandanus, breadfruit, and starchy
aroids are the only food crops of importance.",,Rarely consumed,"""Cholesterol, coconuts, and diet on Polynesian atolls: a natural experiment: the Pukapuka and Tokelau Island studies"" Prior et. al",,
,Phoebe,CHIL1,,Caucosoid Chilean,Chilean,Rural ,Rural Chilean,,,Caleu,,,,,,Temperate Shrubland,Chile,-33,-70,South America,1962,1961,IA,"""Natives are poor agricultural workers""",FG,,semi-acculturated,3,"Then began the breakdown, with the
constructionofa road,a school,a policepost,andan inn; and in 1955 electricity and bus services were added. In the census of 1960 the population had reached 412",,,,"""Factors influencing blood pressure in a rural Chilean community"" Cruz-Coke",,
,"Phoebe, ASHLEY",SOL2-A,,Solomon Island Societies,Nasioi,Bougainville genetic cluster,Nasioi,,,Bougainville,,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1966,1990,,Economic base not mentioned,,,semi-acculturated,3,Based on scale in table 1, ,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-B,,Solomon Island Societies,Nagovisi,Bougainville genetic cluster,Nagovisi,,,Bougainville,,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1966,1990,,Economic base not mentioned,,,semi-acculturated,3,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-C,,Solomon Island Societies,Aita,Bougainville genetic cluster,Aita,,,Bougainville,,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1966,1990,,Economic base not mentioned,,,unacculturated,1,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-D,,Solomon Island Societies,Lau,Malaita genetic cluster,Lau,,,Malaita,Ih4,,,,,Tropical Rainforest,Solomon Islands,-9.11,161.038,Oceania,1966,1990,,Economic base not mentioned,,,semi-acculturated,2,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-E,,Solomon Island Societies,Baegu,Malaita genetic cluster,Baegu,,,Malaita,,,,,,Tropical Rainforest,Solomon Islands,-9.11,161.038,Oceania,1966,1990,,Economic base not mentioned,,,unacculturated,1,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-F,,Solomon Island Societies,Kwaio,Malaita genetic cluster,Kwaio,,,Malaita,Ig18,,,,,Tropical Rainforest,Solomon Islands,-9.11,161.038,Oceania,1966,1990,,Economic base not mentioned,,,unacculturated,1,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL2-G,,Solomon Island Societies,Ontong Java,Ontong Java Genetic cluster,Ontong Java,,,Ontong Java,Ii5,,,,,Tropical Rainforest,Solomon Islands,-5.2667,159.35,Oceania,1966,1990,,Economic base not mentioned,,,unacculturated,1,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-A,,Solomon Island Societies,Nasioi,"Bougainville genetic cluster, 2nd sample",Nasioi,,,Bougainville,,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1985,1990,,Economic base not mentioned,,,acculturated,4,Based on scale in table 1, ,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-B,,Solomon Island Societies,Nagovisi,"Bougainville genetic cluster, 2nd sample",Nagovisi,,,Bougainville,Ig18?,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1985,1990,,Economic base not mentioned,,,acculturated,4,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-C,,Solomon Island Societies,Aita,"Bougainville genetic cluster, 2nd sample",Aita,,,Bougainville,,,,,,Tropical Rainforest,Solomon Islands,-6,155.35,Oceania,1985,1990,,Economic base not mentioned,,,semi-acculturated,2,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-D,,Solomon Island Societies,Lau,"Malaita genetic cluster, 2nd sample",Lau,,,Malaita,Ih4,,,,,Tropical Rainforest,Solomon Islands,-9.11,161.038,Oceania,1985,1990,,Economic base not mentioned,,,semi-acculturated,3,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-E,,Solomon Island Societies,Baegu,"Malaita genetic cluster, 2nd sample",Baegu,,,Malaita,,,,,,Tropical Rainforest,Solomon Islands,-9.11,161.038,Oceania,1985,1990,,Economic base not mentioned,,,semi-acculturated,2,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
,Phoebe,SOL3-G,,Solomon Island Societies,Ontong Java,"Ontong Java Genetic cluster, 2nd sample",Ontong Java,,,Ontong Java,Ii5,,,,,Tropical Rainforest,Solomon Islands,-5.2667,159.35,Oceania,1985,1990,,Economic base not mentioned,,,semi-acculturated,3,Based on scale in table 1,,,,"""Heterogeneity of the Blood Pressure Distribution Among Solomon Islands Societies With Increasing Acculturation"" Zerba et.al ",,
6,Phoebe,FIJ1,,Indigenous Fijian,Fijian,Specified as indigenous Fijian but did not identify any particular descent of othe rethnic origin ,Fijian,,,Suva–Nausori,Ih14 ,SCCS102,,,,Tropical Rainforest,Fiji ,-18,178,Oceania,2001,1996,W,"Urbanized indigenous fijians, no fishing",FG,,acculturated,4,"exposed to an abundance of exotic and imported foods; A decrease in con- sumption of traditional foods and a over consumption of imported foods, coupled with poor nutritional knowledge and inactivity","The mean 24 h dietary intake exhibited a moderate intake of protein, high intake of fat and a low intake of carbohydrate. The carbohydrate reduction was a result from the decline in consumption of traditional staples. Consumption of cereals and related products favored the high intake of butter and margarine and also encouraged the use of cooking oil in frying varieties of flour products.",,,"""Dietary patterns and risk factors of diabetes mellitus among urban indigenous women in Fiji"" Lako  et.al.",,
3,EM,SMU1,,Samburu,Samburu,Specified,Samburu,,,Samburu County ,Aj29,,,,,Savanna,Kenya,0.673,37.6,Africa,1963,,P,Pastoralist,P,nomadic,unacculturated,1,,,,,"""Serum Lipids in Three Nomadic Tribes of Northern Kenya"" Shaper",,
3,EM,REN1,,Rendille,Rendille ,Specified,Rendille,,,Marsabit County,,,,,,Savanna,Kenya,2.46,37.96,Africa,1963,,P,Pastoralist,P,nomadic,unacculturated,1,,,,,"""Serum Lipids in Three Nomadic Tribes of Northern Kenya"" Shaper",,
3,EM,TUR1,,Turkana,Turkana,Specified ,Turkana,,,Turkana County,Aj5,,,,,Savanna,Kenya,3.31,35.6,Africa,1963,,P,Pastoralist,P,nomadic,unacculturated,1,,,,,"""Serum Lipids in Three Nomadic Tribes of Northern Kenya"" Shaper",,
"4, 6",EM,POL1-A,,Polynesian Western Samoan,Polynesian,"Unspecified, will confirm in D-place for ethnic group ",Western Samoa,,Normal or Impaired Glucose Tolerance,Western Samoa,,,,,,Tropical Rainforest,Samoa,-13.5,-171.4,Pacific,1996,,,,,,semi-acculturated,3,"The 240 subjects in the leptin part of the study came from Apia, the capital (104 subjects); Poutasi, a rural village with road access to the capital (68); and Tuasivi, a more isolated rural village (68). These areas were chosen to represent differing degrees of modernisation. These were grouped together for results presented in the study, so a median value is entered. ",,,,"""Serum leptin concentration, obesity, and insulin resistance in western samoans: cross sectional study"" BMJ",,
"4, 6",EM,POL1-B,,Polynesian Western Samoan,Polynesian,"Unspecified, will confirm in D-place for ethnic group ",Western Samoa,,Diabetes,Western Samoa,,,,,,Tropical Rainforest,Samoa,-13.5,-171.4,Pacific,1996,,,,,,semi-acculturated,3,"The 240 subjects in the leptin part of the study came from Apia, the capital (104 subjects); Poutasi, a rural village with road access to the capital (68); and Tuasivi, a more isolated rural village (68). These areas were chosen to represent differing degrees of modernisation. These were grouped together for results presented in the study, so a median value is entered. ",,,,"""Serum leptin concentration, obesity, and insulin resistance in western samoans: cross sectional study"" BMJ",,
